id_produit;libelle;b_mm;h_mm;L_max_m;classe_resistance;famille;id_config_materiau;libelle_config_materiau;classe_dans_libelle;disponible;fournisseur;statut_ingestion;raison_exclusion;ligne_csv_source
103757;Bois de charpente C24 ̩pic̩a sec trait̩ CL2 incolore 38X200mm L.6.00 m;38.0;200.0;6.0;C24;INCONNU;MAT_e9cd8d0a;38x200 C24 L=6.0m;True;True;NO MARQUE;valide;;1217
103758;Bois de charpente C24 ̩pic̩a non sec trait̩ CL2 incolore 38X200mm L.6.50 m;38.0;200.0;6.5;C24;INCONNU;MAT_3b86697c;38x200 C24 L=6.5m;True;True;NO MARQUE;valide;;1218
103759;Bois de charpente C24 ̩pic̩a non sec trait̩ CL2 incolore 38X200mm L.7.00 m;38.0;200.0;7.0;C24;INCONNU;MAT_0ba78810;38x200 C24 L=7.0m;True;True;NO MARQUE;valide;;1219
103760;Bois de charpente C24 ̩pic̩a non sec trait̩ CL2 incolore 38X200mm L.8.00 m;38.0;200.0;8.0;C24;INCONNU;MAT_8bac6fe6;38x200 C24 L=8.0m;True;True;NO MARQUE;valide;;1220
103762;Bois de charpente C24 ̩pic̩a sec trait̩ CL2 incolore 38X225mm L.3.00 m;38.0;225.0;3.0;C24;INCONNU;MAT_3f8e922e;38x225 C24 L=3.0m;True;True;NO MARQUE;valide;;1221
103763;Bois de charpente C24 ̩pic̩a sec trait̩ CL2 incolore 38X225mm L.3.30 m;38.0;225.0;3.3;C24;INCONNU;MAT_463c3b46;38x225 C24 L=3.3m;True;True;NO MARQUE;valide;;1222
103764;Bois de charpente C24 ̩pic̩a sec trait̩ CL2 incolore 38X225mm L.3.60 m;38.0;225.0;3.6;C24;INCONNU;MAT_87d04de8;38x225 C24 L=3.6m;True;True;NO MARQUE;valide;;1223
103765;Bois de charpente C24 ̩pic̩a sec trait̩ CL2 incolore 38X225mm L.3.90 m;38.0;225.0;3.9;C24;INCONNU;MAT_da3e752c;38x225 C24 L=3.9m;True;True;NO MARQUE;valide;;1224
103766;Bois de charpente C24 ̩pic̩a sec trait̩ CL2 incolore 38X225mm L.4.20 m;38.0;225.0;4.2;C24;INCONNU;MAT_a00c8040;38x225 C24 L=4.2m;True;True;NO MARQUE;valide;;1225
103767;Bois de charpente C24 ̩pic̩a sec trait̩ CL2 incolore 38X225mm L.4.50 m;38.0;225.0;4.5;C24;INCONNU;MAT_a3c54c69;38x225 C24 L=4.5m;True;True;NO MARQUE;valide;;1226
103768;Bois de charpente C24 ̩pic̩a sec trait̩ CL2 incolore 38X225mm L.4.80 m;38.0;225.0;4.8;C24;INCONNU;MAT_b9c609db;38x225 C24 L=4.8m;True;True;NO MARQUE;valide;;1227
103769;Bois de charpente C24 ̩pic̩a sec trait̩ CL2 incolore 38X225mm L.5.10 m;38.0;225.0;5.1;C24;INCONNU;MAT_8e971be1;38x225 C24 L=5.1m;True;True;NO MARQUE;valide;;1228
103770;Bois de charpente C24 ̩pic̩a sec trait̩ CL2 incolore 38X225mm L.5.40 m;38.0;225.0;5.4;C24;INCONNU;MAT_fe738fc0;38x225 C24 L=5.4m;True;True;NO MARQUE;valide;;1229
103771;Bois de charpente C24 ̩pic̩a sec trait̩ CL2 incolore 38X225mm L.5.70 m;38.0;225.0;5.7;C24;INCONNU;MAT_a918a319;38x225 C24 L=5.7m;True;True;NO MARQUE;valide;;1230
103772;Bois de charpente C24 ̩pic̩a sec trait̩ CL2 incolore 38X225mm L.6.00 m;38.0;225.0;6.0;C24;INCONNU;MAT_ea8906ca;38x225 C24 L=6.0m;True;True;NO MARQUE;valide;;1231
103782;Bois de charpente C24 ̩pic̩a sec trait̩ CL2 incolore 38X300mm L.5.40 m;38.0;300.0;5.4;C24;INCONNU;MAT_5708206f;38x300 C24 L=5.4m;True;True;NO MARQUE;valide;;1232
103784;Bois de charpente C24 ̩pic̩a sec trait̩ CL2 incolore 50X150 mm L.3.00 m;50.0;150.0;3.0;C24;INCONNU;MAT_26a0524a;50x150 C24 L=3.0m;True;True;NO MARQUE;valide;;1233
103785;Bois de charpente C24 ̩pic̩a sec trait̩ CL2 incolore 50X150 mm L.3.30 m;50.0;150.0;3.3;C24;INCONNU;MAT_88affbe0;50x150 C24 L=3.3m;True;True;NO MARQUE;valide;;1234
103786;Bois de charpente C24 ̩pic̩a sec trait̩ CL2 incolore 50X150 mm L.3.60 m;50.0;150.0;3.6;C24;INCONNU;MAT_2a9a7f70;50x150 C24 L=3.6m;True;True;NO MARQUE;valide;;1235
103787;Bois de charpente C24 ̩pic̩a sec trait̩ CL2 incolore 50X150 mm L.3.90 m;50.0;150.0;3.9;C24;INCONNU;MAT_6f3afebb;50x150 C24 L=3.9m;True;True;NO MARQUE;valide;;1236
103788;Bois de charpente C24 ̩pic̩a sec trait̩ CL2 incolore 50X150 mm L.4.20 m;50.0;150.0;4.2;C24;INCONNU;MAT_065aa3ee;50x150 C24 L=4.2m;True;True;NO MARQUE;valide;;1237
103789;Bois de charpente C24 ̩pic̩a sec trait̩ CL2 incolore 50X150 mm L.4.50 m;50.0;150.0;4.5;C24;INCONNU;MAT_b12851a2;50x150 C24 L=4.5m;True;True;NO MARQUE;valide;;1238
103790;Bois de charpente C24 ̩pic̩a sec trait̩ CL2 incolore 50X150 mm L.4.80 m;50.0;150.0;4.8;C24;INCONNU;MAT_189c6e6d;50x150 C24 L=4.8m;True;True;NO MARQUE;valide;;1239
103791;Bois de charpente C24 ̩pic̩a sec trait̩ CL2 incolore 50X150 mm L.5.10 m;50.0;150.0;5.1;C24;INCONNU;MAT_da9af91a;50x150 C24 L=5.1m;True;True;NO MARQUE;valide;;1240
103792;Bois de charpente C24 ̩pic̩a sec trait̩ CL2 incolore 50X150 mm L.5.40 m;50.0;150.0;5.4;C24;INCONNU;MAT_ebb9564f;50x150 C24 L=5.4m;True;True;NO MARQUE;valide;;1241
103793;Bois de charpente C24 ̩pic̩a sec trait̩ CL2 incolore 50X150 mm L.5.70 m;50.0;150.0;5.7;C24;INCONNU;MAT_281f234f;50x150 C24 L=5.7m;True;True;NO MARQUE;valide;;1242
103794;Bois de charpente C24 ̩pic̩a sec trait̩ CL2 incolore 50X150 mm L.6.00 m;50.0;150.0;6.0;C24;INCONNU;MAT_d5267100;50x150 C24 L=6.0m;True;True;NO MARQUE;valide;;1243
103796;Bois de charpente C24 ̩pic̩a sec trait̩ CL2 incolore 63X175mm L.3.00 m;63.0;175.0;3.0;C24;INCONNU;MAT_96b3ed1b;63x175 C24 L=3.0m;True;True;NO MARQUE;valide;;1244
103797;Bois de charpente C24 ̩pic̩a sec trait̩ CL2 incolore 63X175mm L.3.30 m;63.0;175.0;3.3;C24;INCONNU;MAT_48835087;63x175 C24 L=3.3m;True;True;NO MARQUE;valide;;1245
103798;Bois de charpente C24 ̩pic̩a sec trait̩ CL2 incolore 63X175mm L.3.60 m;63.0;175.0;3.6;C24;INCONNU;MAT_ef9c7d3d;63x175 C24 L=3.6m;True;True;NO MARQUE;valide;;1246
103799;Bois de charpente C24 ̩pic̩a sec trait̩ CL2 incolore 63X175mm L.3.90 m;63.0;175.0;3.9;C24;INCONNU;MAT_235d0ee3;63x175 C24 L=3.9m;True;True;NO MARQUE;valide;;1247
103800;Bois de charpente C24 ̩pic̩a sec trait̩ CL2 incolore 63X175mm L.4.20 m;63.0;175.0;4.2;C24;INCONNU;MAT_440bff0a;63x175 C24 L=4.2m;True;True;NO MARQUE;valide;;1248
103801;Bois de charpente C24 ̩pic̩a sec trait̩ CL2 incolore 63X175mm L.4.50 m;63.0;175.0;4.5;C24;INCONNU;MAT_c2dfc37f;63x175 C24 L=4.5m;True;True;NO MARQUE;valide;;1249
103802;Bois de charpente C24 ̩pic̩a sec trait̩ CL2 incolore 63X175mm L.4.80 m;63.0;175.0;4.8;C24;INCONNU;MAT_91d88811;63x175 C24 L=4.8m;True;True;NO MARQUE;valide;;1250
103803;Bois de charpente C24 ̩pic̩a sec trait̩ CL2 incolore 63X175mm L.5.10 m;63.0;175.0;5.1;C24;INCONNU;MAT_93e99f45;63x175 C24 L=5.1m;True;True;NO MARQUE;valide;;1251
103804;Bois de charpente C24 ̩pic̩a sec trait̩ CL2 incolore 63X175mm L.5.40 m;63.0;175.0;5.4;C24;INCONNU;MAT_9ff50609;63x175 C24 L=5.4m;True;True;NO MARQUE;valide;;1252
103806;Bois de charpente C24 ̩pic̩a sec trait̩ CL2 incolore 63X175mm L.6.00 m;63.0;175.0;6.0;C24;INCONNU;MAT_3bffea3f;63x175 C24 L=6.0m;True;True;NO MARQUE;valide;;1253
103807;Bois de charpente C24 ̩pic̩a non sec trait̩ CL2 incolore 63X175mm L.6.50 m;63.0;175.0;6.5;C24;INCONNU;MAT_6d059032;63x175 C24 L=6.5m;True;True;NO MARQUE;valide;;1254
103811;Bois de charpente C24 ̩pic̩a sec trait̩ CL2 incolore 75X200mm L.3.00 m;75.0;200.0;3.0;C24;INCONNU;MAT_9ed22d71;75x200 C24 L=3.0m;True;True;NO MARQUE;valide;;1255
103812;Bois de charpente C24 ̩pic̩a sec trait̩ CL2 incolore 75X200mm L.3.30 m;75.0;200.0;3.3;C24;INCONNU;MAT_bddd4a1b;75x200 C24 L=3.3m;True;True;NO MARQUE;valide;;1256
103813;Bois de charpente C24 ̩pic̩a sec trait̩ CL2 incolore 75X200mm L.3.60 m;75.0;200.0;3.6;C24;INCONNU;MAT_4487378e;75x200 C24 L=3.6m;True;True;NO MARQUE;valide;;1257
103814;Bois de charpente C24 ̩pic̩a sec trait̩ CL2 incolore 75X200mm L.3.90 m;75.0;200.0;3.9;C24;INCONNU;MAT_c87ca038;75x200 C24 L=3.9m;True;True;NO MARQUE;valide;;1258
103816;Bois de charpente C24 ̩pic̩a sec trait̩ CL2 incolore 75X200mm L.4.50 m;75.0;200.0;4.5;C24;INCONNU;MAT_d2208e2e;75x200 C24 L=4.5m;True;True;NO MARQUE;valide;;1259
103817;Bois de charpente C24 ̩pic̩a sec trait̩ CL2 incolore 75X200mm L.4.80 m;75.0;200.0;4.8;C24;INCONNU;MAT_d3b8a571;75x200 C24 L=4.8m;True;True;NO MARQUE;valide;;1260
103818;Bois de charpente C24 ̩pic̩a sec trait̩ CL2 incolore 75X200mm L.5.10 m;75.0;200.0;5.1;C24;INCONNU;MAT_7527b112;75x200 C24 L=5.1m;True;True;NO MARQUE;valide;;1261
103819;Bois de charpente C24 ̩pic̩a sec trait̩ CL2 incolore 75X200mm L.5.40 m;75.0;200.0;5.4;C24;INCONNU;MAT_a1f2b576;75x200 C24 L=5.4m;True;True;NO MARQUE;valide;;1262
103820;Bois de charpente C24 ̩pic̩a sec trait̩ CL2 incolore 75X200mm L.5.70 m;75.0;200.0;5.7;C24;INCONNU;MAT_d0737c14;75x200 C24 L=5.7m;True;True;NO MARQUE;valide;;1263
103821;Bois de charpente C24 ̩pic̩a sec trait̩ CL2 incolore 75X200mm L.6.00 m;75.0;200.0;6.0;C24;INCONNU;MAT_6965ec6a;75x200 C24 L=6.0m;True;True;NO MARQUE;valide;;1264
103822;Bois de charpente C24 ̩pic̩a non sec trait̩ CL2 incolore 75X200mm L.6.50 m;75.0;200.0;6.5;C24;INCONNU;MAT_945e808c;75x200 C24 L=6.5m;True;True;NO MARQUE;valide;;1265
103823;Bois de charpente C24 ̩pic̩a non sec trait̩ CL2 incolore 75X200mm L.7.00 m;75.0;200.0;7.0;C24;INCONNU;MAT_67f6fbbd;75x200 C24 L=7.0m;True;True;NO MARQUE;valide;;1266
103824;Bois de charpente C24 ̩pic̩a non sec trait̩ CL2 incolore 75X200mm L.7.50 m;75.0;200.0;7.5;C24;INCONNU;MAT_e5027c38;75x200 C24 L=7.5m;True;True;NO MARQUE;valide;;1267
103825;Bois de charpente C24 ̩pic̩a non sec trait̩ CL2 incolore 75X200mm L.8.00 m;75.0;200.0;8.0;C24;INCONNU;MAT_4e5f6cee;75x200 C24 L=8.0m;True;True;NO MARQUE;valide;;1268
103827;Bois de charpente C24 ̩pic̩a sec trait̩ CL2 incolore 75X225mm L.3.00 m;75.0;225.0;3.0;C24;INCONNU;MAT_4af6d6fb;75x225 C24 L=3.0m;True;True;NO MARQUE;valide;;1269
103828;Bois de charpente C24 ̩pic̩a sec trait̩ CL2 incolore 75X225mm L.3.30 m;75.0;225.0;3.3;C24;INCONNU;MAT_cd44ac45;75x225 C24 L=3.3m;True;True;NO MARQUE;valide;;1270
103829;Bois de charpente C24 ̩pic̩a sec trait̩ CL2 incolore 75X225mm L.3.60 m;75.0;225.0;3.6;C24;INCONNU;MAT_03cc133d;75x225 C24 L=3.6m;True;True;NO MARQUE;valide;;1271
103830;Bois de charpente C24 ̩pic̩a sec trait̩ CL2 incolore 75X225mm L.3.90 m;75.0;225.0;3.9;C24;INCONNU;MAT_36ad7bc6;75x225 C24 L=3.9m;True;True;NO MARQUE;valide;;1272
103831;Bois de charpente C24 ̩pic̩a sec trait̩ CL2 incolore 75X225mm L.4.20 m;75.0;225.0;4.2;C24;INCONNU;MAT_da52e5bb;75x225 C24 L=4.2m;True;True;NO MARQUE;valide;;1273
103832;Bois de charpente C24 ̩pic̩a sec trait̩ CL2 incolore 75X225mm L.4.50 m;75.0;225.0;4.5;C24;INCONNU;MAT_3fa0b59f;75x225 C24 L=4.5m;True;True;NO MARQUE;valide;;1274
103833;Bois de charpente C24 ̩pic̩a sec trait̩ CL2 incolore 75X225mm L.4.80 m;75.0;225.0;4.8;C24;INCONNU;MAT_c61125d3;75x225 C24 L=4.8m;True;True;NO MARQUE;valide;;1275
103834;Bois de charpente C24 ̩pic̩a sec trait̩ CL2 incolore 75X225mm L.5.10 m;75.0;225.0;5.1;C24;INCONNU;MAT_0eac47a0;75x225 C24 L=5.1m;True;True;NO MARQUE;valide;;1276
103835;Bois de charpente C24 ̩pic̩a sec trait̩ CL2 incolore 75X225mm L.5.40 m;75.0;225.0;5.4;C24;INCONNU;MAT_870d3b39;75x225 C24 L=5.4m;True;True;NO MARQUE;valide;;1277
103836;Bois de charpente C24 ̩pic̩a sec trait̩ CL2 incolore 75X225mm L.5.70 m;75.0;225.0;5.7;C24;INCONNU;MAT_ae2c8585;75x225 C24 L=5.7m;True;True;NO MARQUE;valide;;1278
103837;Bois de charpente C24 ̩pic̩a sec trait̩ CL2 incolore 75X225mm L.6.00 m;75.0;225.0;6.0;C24;INCONNU;MAT_39f8c3e9;75x225 C24 L=6.0m;True;True;NO MARQUE;valide;;1279
103838;Bois de charpente C24 ̩pic̩a non sec trait̩ CL2 incolore 75X225mm L.6.50 m;75.0;225.0;6.5;C24;INCONNU;MAT_51c1be77;75x225 C24 L=6.5m;True;True;NO MARQUE;valide;;1280
103840;Bois de charpente C24 ̩pic̩a non sec trait̩ CL2 incolore 75X225mm L.7.50 m;75.0;225.0;7.5;C24;INCONNU;MAT_4f45c794;75x225 C24 L=7.5m;True;True;NO MARQUE;valide;;1281
103841;Bois de charpente C24 ̩pic̩a non sec trait̩ CL2 incolore 75X225mm L.8.00 m;75.0;225.0;8.0;C24;INCONNU;MAT_41ed7111;75x225 C24 L=8.0m;True;True;NO MARQUE;valide;;1282
103845;Bois de charpente C24 ̩pic̩a sec trait̩ CL2 incolore 75X250mm L.4.80 m;75.0;250.0;4.8;C24;INCONNU;MAT_e7dedc07;75x250 C24 L=4.8m;True;True;NO MARQUE;valide;;1283
103846;Bois de charpente C24 ̩pic̩a sec trait̩ CL2 incolore 75X250mm L.5.10 m;75.0;250.0;5.1;C24;INCONNU;MAT_b5537511;75x250 C24 L=5.1m;True;True;NO MARQUE;valide;;1284
103847;Bois de charpente C24 ̩pic̩a sec trait̩ CL2 incolore 75X250mm L.6.00 m;75.0;250.0;6.0;C24;INCONNU;MAT_485c80c3;75x250 C24 L=6.0m;True;True;NO MARQUE;valide;;1285
103848;Bois de charpente C24 ̩pic̩a sec trait̩ CL2 incolore 75X250mm L.6.00 m;75.0;250.0;6.6;C24;INCONNU;MAT_aaddc077;75x250 C24 L=6.6m;True;True;NO MARQUE;valide;;1286
103849;Bois de charpente C24 ̩pic̩a non sec trait̩ CL2 incolore 75X250mm L.7.20 m;75.0;250.0;7.2;C24;INCONNU;MAT_51eb587e;75x250 C24 L=7.2m;True;True;NO MARQUE;valide;;1287
103850;Bois de charpente C24 ̩pic̩a sec trait̩ CL2 incolore 75X300 mm L.3.90 m;75.0;300.0;3.9;C24;INCONNU;MAT_5fbb0831;75x300 C24 L=3.9m;True;True;NO MARQUE;valide;;1288
103851;Bois de charpente C24 ̩pic̩a sec trait̩ CL2 incolore 75X300 mm L.4.20 m;75.0;300.0;4.2;C24;INCONNU;MAT_627c8d44;75x300 C24 L=4.2m;True;True;NO MARQUE;valide;;1289
103852;Bois de charpente C24 ̩pic̩a sec trait̩ CL2 incolore 75X300mm L.4.50 m;75.0;300.0;4.5;C24;INCONNU;MAT_3a99fa80;75x300 C24 L=4.5m;True;True;NO MARQUE;valide;;1290
103853;Bois de charpente C24 ̩pic̩a sec trait̩ CL2 incolore 75X300mm L.4.80 m;75.0;300.0;4.8;C24;INCONNU;MAT_7f617838;75x300 C24 L=4.8m;True;True;NO MARQUE;valide;;1291
103854;Bois de charpente C24 ̩pic̩a sec trait̩ CL2 incolore 75X300mm L.5.10 m;75.0;300.0;5.1;C24;INCONNU;MAT_6019b897;75x300 C24 L=5.1m;True;True;NO MARQUE;valide;;1292
103855;Bois de charpente C24 ̩pic̩a sec trait̩ CL2 incolore 75X300mm L.5.40 m;75.0;300.0;5.4;C24;INCONNU;MAT_2d4bf6e8;75x300 C24 L=5.4m;True;True;NO MARQUE;valide;;1293
103856;Bois de charpente C24 ̩pic̩a sec trait̩ CL2 incolore 75X300 mm L.5.70 m;75.0;300.0;5.7;C24;INCONNU;MAT_fb48bb61;75x300 C24 L=5.7m;True;True;NO MARQUE;valide;;1294
103901;Lamell̩-coll̩ ̩pic̩a GL24H trait̩ CL2 incolore 80X280 mm L.4.50 m;80.0;280.0;4.5;GL24h;INCONNU;MAT_5236cfb2;80x280 GL24h L=4.5m;True;True;NO MARQUE;valide;;1319
103902;Lamell̩-coll̩ ̩pic̩a GL24H trait̩ CL2 incolore 80X280 mm L.6.50 m;80.0;280.0;6.5;GL24h;INCONNU;MAT_35fd3e63;80x280 GL24h L=6.5m;True;True;NO MARQUE;valide;;1320
103903;Lamell̩-coll̩ ̩pic̩a GL24H trait̩ CL2 incolore 80X280 mm L.9.00 m;80.0;280.0;9.0;GL24h;INCONNU;MAT_9ef4c18f;80x280 GL24h L=9.0m;True;True;NO MARQUE;valide;;1321
103904;Lamell̩-coll̩ ̩pic̩a GL24H trait̩ CL2 incolore 80X280 mm L.13.00 m;80.0;280.0;13.0;GL24h;INCONNU;MAT_e094e3c4;80x280 GL24h L=13.0m;True;True;NO MARQUE;valide;;1322
103905;Lamell̩-coll̩ ̩pic̩a GL24H trait̩ CL2 incolore 80X360 mm L.4.50 m;80.0;360.0;4.5;GL24h;INCONNU;MAT_57724490;80x360 GL24h L=4.5m;True;True;NO MARQUE;valide;;1323
103906;Lamell̩-coll̩ ̩pic̩a GL24H trait̩ CL2 incolore 80X360 mm L.6.50 m;80.0;360.0;6.5;GL24h;INCONNU;MAT_24941d13;80x360 GL24h L=6.5m;True;True;NO MARQUE;valide;;1324
103907;Lamell̩-coll̩ ̩pic̩a GL24H trait̩ CL2 incolore 80X360 mm L.9.00 m;80.0;360.0;9.0;GL24h;INCONNU;MAT_fe343f61;80x360 GL24h L=9.0m;True;True;NO MARQUE;valide;;1325
103908;Lamell̩-coll̩ ̩pic̩a GL24H trait̩ CL2 incolore 80X360 mm L.13.00 m;80.0;360.0;13.0;GL24h;INCONNU;MAT_33345bbf;80x360 GL24h L=13.0m;True;True;NO MARQUE;valide;;1326
103909;Lamell̩-coll̩ ̩pic̩a GL24H trait̩ CL2 incolore 90X225 mm L.4.50 m;90.0;225.0;4.5;GL24h;INCONNU;MAT_5e69eb3e;90x225 GL24h L=4.5m;True;True;NO MARQUE;valide;;1327
103910;Lamell̩-coll̩ ̩pic̩a GL24H trait̩ CL2 incolore 90X225 mm L.6.50 m;90.0;225.0;6.5;GL24h;INCONNU;MAT_4a032aeb;90x225 GL24h L=6.5m;True;True;NO MARQUE;valide;;1328
103911;Lamell̩-coll̩ ̩pic̩a GL24H trait̩ CL2 incolore 90X225 mm L.9.00 m;90.0;225.0;9.0;GL24h;INCONNU;MAT_2a64bb34;90x225 GL24h L=9.0m;True;True;NO MARQUE;valide;;1329
103912;Lamell̩-coll̩ ̩pic̩a GL24H trait̩ CL2 incolore 90X225 mm L.13.00 m;90.0;225.0;13.0;GL24h;INCONNU;MAT_6fa208a8;90x225 GL24h L=13.0m;True;True;NO MARQUE;valide;;1330
